part_id,part_name,machine_id,supplier,stock_qty,reorder_threshold,unit_price_eur,last_restock_date
1,Valve,M-9,RS Components,189,65,583.68,2024-07-23 08:18:17
2,Controller,M-10,Siemens,106,72,702.17,2024-01-19 01:34:39
3,Pump,M-1,Bosch Rexroth,149,58,222.22,2024-03-08 05:20:43
4,Bearing,M-5,Schneider,128,23,573.1,2024-09-29 02:39:43
5,Controller,M-8,Siemens,219,59,886.04,2024-01-04 05:28:42
6,Filter,M-12,RS Components,78,7,417.98,2024-07-17 17:21:08
7,Filter,M-19,Festo,7,24,549.56,2024-06-22 19:38:35
8,Controller,M-10,Festo,168,33,820.94,2024-12-09 19:13:30
9,Controller,M-15,Siemens,274,56,525.39,2024-12-28 14:50:43
10,Pump,M-12,Festo,117,68,756.38,2024-06-12 12:34:49
11,Filter,M-11,Festo,34,17,96.51,2024-12-27 00:35:06
12,Motor,M-9,Sonepar,278,47,362.84,2024-06-17 20:37:10
13,Bearing,M-20,Siemens,252,61,363.62,2024-06-09 05:11:09
14,Fuse,M-10,Bosch Rexroth,181,40,452.78,2024-05-29 13:58:44
15,Fuse,M-9,Bosch Rexroth,20,5,465.15,2024-03-18 09:42:53
16,Gear,M-20,Siemens,25,6,778.61,2024-02-06 17:33:04
17,Filter,M-12,Festo,45,15,470.97,2024-11-13 04:40:51
18,Sensor,M-12,Schneider,156,22,637.57,2024-05-27 23:51:28
19,Valve,M-13,RS Components,108,62,550.49,2024-11-25 15:52:43
20,Gear,M-4,Sonepar,77,52,538.71,2024-11-11 02:39:32
21,Belt,M-2,Schneider,108,31,88.13,2024-03-22 02:10:37
22,Belt,M-19,Schneider,120,14,435.39,2024-12-21 05:49:48
23,Filter,M-18,Siemens,230,28,853.55,2024-05-24 13:04:14
24,Sensor,M-2,Schneider,29,42,272.83,2024-06-14 01:28:17
25,Bearing,M-12,Siemens,106,14,384.83,2024-04-22 14:15:21
26,Belt,M-7,Bosch Rexroth,85,15,895.36,2024-02-02 04:37:17
27,Sensor,M-18,Siemens,128,77,624.04,2024-08-12 22:43:24
28,Bearing,M-15,Siemens,194,18,197.9,2024-05-31 18:35:19
29,Filter,M-8,RS Components,297,27,841.67,2024-09-19 10:31:19
30,Bearing,M-6,Bosch Rexroth,67,53,452.78,2024-07-28 12:40:07
31,Bearing,M-1,Festo,258,57,898.72,2024-04-21 14:50:34
32,Controller,M-12,Festo,265,36,495.66,2024-10-25 23:03:43
33,Sensor,M-20,Festo,156,75,97.96,2024-01-16 00:13:11
34,Pump,M-16,Festo,223,66,100.01,2024-10-17 23:04:18
35,Motor,M-7,Siemens,125,10,790.05,2024-08-05 20:38:11
36,Gear,M-3,Siemens,115,21,563.48,2024-06-13 19:25:56
37,Fuse,M-10,RS Components,193,7,537.0,2024-06-10 09:05:36
38,Sensor,M-11,Schneider,287,36,422.07,2024-11-29 12:59:41
39,Pump,M-3,Siemens,35,49,733.17,2024-07-06 00:52:30
40,Bearing,M-17,Schneider,128,44,716.66,2024-09-19 00:51:11
41,Valve,M-10,Schneider,225,74,452.78,2024-02-21 03:50:07
42,Controller,M-8,RS Components,48,17,406.96,2024-10-14 20:25:31
43,Controller,M-4,RS Components,125,29,452.78,2024-08-17 06:51:58
44,Motor,M-4,Festo,130,64,354.33,2024-07-16 07:12:38
45,Controller,M-15,Schneider,248,14,695.53,2024-06-29 04:02:08
46,Bearing,M-1,Siemens,40,9,695.69,2024-07-28 18:23:24
47,Sensor,M-4,Siemens,30,54,749.34,2024-12-01 20:42:52
48,Controller,M-17,Bosch Rexroth,247,52,751.73,2024-12-18 04:20:10
49,Pump,M-1,RS Components,90,17,121.5,2024-11-10 21:12:46
50,Sensor,M-9,RS Components,257,22,148.95,2024-11-14 13:40:28
51,Bearing,M-12,Bosch Rexroth,158,27,713.97,2024-06-18 16:38:36
52,Bearing,M-5,RS Components,143,31,383.2,2024-04-04 07:51:03
53,Bearing,M-9,Schneider,38,71,272.92,2024-05-31 08:40:47
54,Controller,M-1,Siemens,157,31,62.77,2024-06-10 20:21:01
55,Pump,M-20,Festo,102,17,743.65,2024-07-23 13:37:55
56,Valve,M-18,Siemens,180,18,89.63,2024-08-10 18:43:58
57,Motor,M-4,Festo,36,74,549.77,2024-09-25 16:04:43
58,Fuse,M-20,Siemens,263,29,82.05,2024-02-05 13:32:06
59,Fuse,M-13,Bosch Rexroth,65,77,866.42,2024-03-25 05:13:57
60,Filter,M-8,Siemens,74,14,452.78,2024-06-11 23:01:53
61,Controller,M-18,Schneider,241,36,338.89,2024-11-20 02:19:02
62,Gear,M-11,Sonepar,236,14,415.19,2024-05-09 17:23:35
63,Bearing,M-1,Schneider,33,29,436.95,2024-10-27 17:37:00
64,Valve,M-3,Festo,118,24,748.06,2024-07-03 21:52:17
65,Motor,M-3,Bosch Rexroth,127,57,125.6,2024-12-07 23:50:30
66,Valve,M-3,Sonepar,98,9,44.03,2024-12-07 13:44:30
67,Valve,M-15,Bosch Rexroth,69,13,791.17,2024-09-13 23:42:33
68,Motor,M-19,Festo,128,60,285.47,2024-04-02 14:43:59
69,Fuse,M-6,Festo,53,21,641.79,2024-03-07 18:03:21
70,Controller,M-16,Bosch Rexroth,159,25,775.73,2024-09-05 08:04:37
71,Sensor,M-15,RS Components,199,30,65.76,2024-11-02 02:03:27
72,Controller,M-12,RS Components,178,23,451.68,2024-03-14 17:32:23
73,Sensor,M-5,Festo,260,65,398.89,2024-10-18 17:04:09
74,Filter,M-3,Siemens,134,79,856.19,2024-03-24 20:59:46
75,Motor,M-1,Sonepar,53,78,588.16,2024-08-22 13:32:45
76,Bearing,M-17,Bosch Rexroth,190,32,243.74,2024-10-23 12:42:54
77,Controller,M-17,Festo,2,26,196.28,2024-08-27 15:17:35
78,Valve,M-20,RS Components,152,19,23.9,2024-06-28 03:44:23
79,Valve,M-15,Sonepar,232,34,558.43,2024-10-19 19:17:29
80,Valve,M-2,Siemens,272,35,467.17,2024-02-21 11:16:06
81,Belt,M-17,Bosch Rexroth,8,70,538.29,2024-02-06 16:16:21
82,Sensor,M-18,Sonepar,78,34,90.09,2024-07-19 23:59:50
83,Controller,M-17,Festo,66,37,198.75,2024-05-21 23:17:29
84,Motor,M-8,Festo,135,8,331.0,2024-01-16 05:53:01
85,Valve,M-9,Sonepar,191,16,523.93,2024-03-21 14:00:35
86,Motor,M-19,Siemens,270,59,266.55,2024-07-24 16:23:25
87,Valve,M-3,Festo,69,37,519.0,2024-05-22 02:07:52
88,Valve,M-19,RS Components,195,29,395.76,2024-03-06 20:55:40
89,Sensor,M-12,Sonepar,68,31,8.07,2024-02-14 18:13:15
90,Sensor,M-4,Sonepar,128,50,318.81,2024-04-20 04:11:19
91,Fuse,M-8,RS Components,183,74,56.79,2024-05-12 11:18:00
92,Fuse,M-14,Siemens,103,15,345.79,2024-05-21 20:08:49
93,Pump,M-2,Bosch Rexroth,213,10,267.25,2024-07-28 03:19:17
94,Motor,M-3,Siemens,106,31,587.35,2024-01-14 10:02:30
95,Sensor,M-5,Schneider,42,45,750.21,2024-03-30 15:54:25
96,Gear,M-8,Bosch Rexroth,185,43,894.81,2024-02-10 17:23:33
97,Fuse,M-11,RS Components,128,47,330.0,2024-01-15 00:51:36
98,Bearing,M-8,RS Components,60,39,775.46,2024-03-17 07:10:09
99,Valve,M-6,Festo,110,51,111.59,2024-09-25 20:31:22
100,Controller,M-8,RS Components,97,41,441.87,2024-02-28 22:21:54
101,Controller,M-6,Siemens,132,68,248.05,2024-07-16 20:31:23
102,Bearing,M-3,Siemens,172,10,616.01,2024-01-16 22:31:50
103,Bearing,M-13,Bosch Rexroth,135,52,30.55,2024-07-28 17:28:25
104,Filter,M-1,RS Components,168,7,612.99,2024-09-25 17:04:44
105,Valve,M-13,Schneider,96,66,131.21,2024-06-12 05:19:21
106,Filter,M-16,Sonepar,182,13,69.95,2024-08-04 09:18:15
107,Valve,M-2,Festo,68,20,102.45,2024-11-29 13:31:31
108,Filter,M-19,Sonepar,55,25,824.63,2024-06-29 12:40:32
109,Controller,M-8,Bosch Rexroth,32,76,440.34,2024-03-10 21:46:19
110,Controller,M-1,Bosch Rexroth,280,45,834.44,2024-12-19 03:57:22
111,Filter,M-10,Bosch Rexroth,160,58,818.16,2024-02-01 06:21:41
112,Valve,M-1,Schneider,44,53,625.03,2024-08-27 22:45:29
113,Controller,M-10,RS Components,141,26,452.78,2024-11-05 01:00:49
114,Gear,M-19,RS Components,162,55,758.77,2024-06-28 22:28:43
115,Bearing,M-3,Bosch Rexroth,11,60,654.21,2024-03-03 14:02:10
116,Gear,M-20,Siemens,299,78,34.27,2024-08-18 11:18:29
117,Valve,M-1,Sonepar,93,60,695.3,2024-04-04 00:27:03
118,Gear,M-13,Siemens,220,30,199.02,2024-12-13 06:51:06
119,Sensor,M-18,RS Components,6,70,447.21,2024-08-31 02:58:20
120,Fuse,M-9,RS Components,54,44,280.34,2024-06-26 08:52:18
