plan_id,factory_id,product_id,planned_start,planned_end,planned_quantity,priority,status
1,1,11,2024-03-15 04:55:19,2024-03-15 21:55:19,358,High,Completed
2,2,4,2024-06-04 14:56:35,2024-06-05 04:56:35,3989,Medium,Completed
3,3,14,2024-03-23 12:09:50,2024-03-23 19:09:50,3651,Medium,Completed
4,4,9,2024-03-04 19:49:57,2024-03-05 23:49:57,4207,High,Completed
5,4,1,2024-09-06 13:50:33,2024-09-07 07:50:33,185,Medium,In Progress
6,5,14,2024-05-21 07:06:44,2024-05-22 09:06:44,2545,High,Delayed
7,2,10,2024-07-15 10:32:57,2024-07-16 02:32:57,3078,Medium,In Progress
8,2,13,2024-05-04 03:19:01,2024-05-04 11:19:01,2009,High,Delayed
9,5,4,2024-01-03 18:25:52,2024-01-05 11:25:52,1814,Medium,Completed
10,1,6,2024-01-31 00:51:54,2024-01-31 06:51:54,3489,Medium,Planned
11,2,8,2024-02-14 18:45:25,2024-02-15 22:45:25,2545,High,Delayed
12,1,1,2024-06-16 00:45:56,2024-06-16 07:45:56,2333,Medium,In Progress
13,5,5,2024-10-02 05:24:34,2024-10-03 22:24:34,413,Medium,Completed
14,4,12,2024-07-28 02:26:00,2024-07-29 07:26:00,2796,Medium,Delayed
15,1,12,2024-11-19 11:23:14,2024-11-20 09:23:14,2107,Low,Completed
16,5,5,2024-01-18 05:51:58,2024-01-19 22:51:58,2669,High,Completed
17,5,11,2024-08-27 22:37:04,2024-08-28 14:37:04,3353,Medium,Planned
18,1,12,2024-12-22 02:25:52,2024-12-23 01:25:52,1850,High,Planned
19,5,6,2024-05-10 23:16:18,2024-05-12 11:16:18,2361,High,Planned
20,5,5,2024-08-04 23:21:10,2024-08-06 13:21:10,2521,High,In Progress
21,5,13,2024-06-13 17:35:15,2024-06-15 11:35:15,2139,Medium,Completed
22,5,1,2024-11-24 04:45:58,2024-11-25 00:45:58,1343,Medium,Planned
23,2,12,2024-08-24 11:21:06,2024-08-25 00:21:06,1455,Medium,Completed
24,1,4,2024-04-19 21:42:47,2024-04-20 11:42:47,2213,Medium,Completed
25,4,15,2024-08-12 19:57:26,2024-08-13 07:57:26,2780,Medium,Completed
26,3,7,2024-03-02 08:19:02,2024-03-03 20:19:02,3353,High,In Progress
27,5,9,2024-12-03 07:53:06,2024-12-04 06:53:06,2545,Medium,Completed
28,3,2,2024-06-24 00:21:54,2024-06-24 20:21:54,3855,Medium,Completed
29,5,9,2024-08-09 01:47:35,2024-08-10 01:47:35,796,Low,Planned
30,5,6,2024-07-07 00:10:37,2024-07-08 02:10:37,4385,Low,Planned
31,2,4,2024-01-16 22:48:08,2024-01-18 08:48:08,4237,High,In Progress
32,2,6,2024-08-21 21:38:01,2024-08-23 00:38:01,1604,Low,Planned
33,1,13,2024-06-02 16:27:37,2024-06-04 08:27:37,1960,Medium,Planned
34,2,15,2024-10-06 10:26:04,2024-10-07 19:26:04,3342,Medium,Completed
35,4,9,2024-02-14 16:47:32,2024-02-15 00:47:32,4136,Low,Completed
36,2,15,2024-06-21 09:36:42,2024-09-12 09:16:28,2545,High,Completed
37,5,5,2024-08-20 19:22:43,2024-08-21 12:22:43,384,Low,Planned
38,2,5,2024-12-06 10:29:43,2024-12-07 14:29:43,3983,Medium,Completed
39,4,10,2024-12-26 09:47:08,2024-12-27 20:47:08,4422,Low,In Progress
40,1,13,2024-06-25 03:15:41,2024-06-25 22:15:41,579,Medium,Completed
41,5,6,2024-06-27 22:25:01,2024-06-28 10:25:01,926,Medium,Planned
42,3,5,2024-12-11 11:08:10,2024-12-12 03:08:10,3157,High,Planned
43,1,8,2024-02-25 06:37:42,2024-02-26 10:37:42,174,Medium,Completed
44,2,12,2024-10-20 10:30:14,2024-10-22 05:30:14,3154,High,In Progress
45,5,12,2024-12-22 01:12:19,2024-12-22 09:12:19,3467,Medium,Planned
46,4,14,2024-02-06 06:57:38,2024-02-07 14:57:38,3951,Medium,Completed
47,3,6,2024-09-12 09:16:28,2024-09-13 01:16:28,3100,High,Planned
48,2,8,2024-03-23 03:30:26,2024-03-24 22:30:26,4281,Medium,Completed
49,2,6,2024-08-07 03:26:46,2024-08-07 17:26:46,1531,Medium,Planned
50,3,8,2024-07-24 08:12:42,2024-07-24 19:12:42,4890,Medium,Completed
51,2,4,2024-05-18 12:22:10,2024-05-19 11:22:10,3430,Low,Completed
52,5,3,2024-12-05 00:50:28,2024-12-05 13:50:28,1609,Low,Planned
53,4,14,2024-06-30 10:15:03,2024-07-02 01:15:03,1847,High,In Progress
54,4,5,2024-06-23 19:43:30,2024-06-24 18:43:30,276,Low,Completed
55,3,14,2024-11-14 03:44:58,2024-11-15 11:44:58,2426,Medium,Completed
56,3,8,2024-05-15 19:15:02,2024-05-17 15:15:02,2993,Medium,Completed
57,2,1,2024-01-28 04:50:57,2024-01-29 17:50:57,218,High,Planned
58,5,13,2024-04-28 04:49:49,2024-04-29 14:49:49,4508,High,In Progress
59,2,13,2024-10-01 05:18:24,2024-10-03 04:18:24,2545,Medium,In Progress
60,1,8,2024-10-27 11:40:22,2024-10-27 23:40:22,62,Medium,Completed
61,1,1,2024-03-06 18:00:52,2024-03-07 17:00:52,2618,Medium,Planned
62,5,12,2024-08-22 03:40:24,2024-08-23 22:40:24,2863,Medium,Completed
63,1,14,2024-04-30 21:16:39,2024-05-01 14:16:39,1438,High,Planned
64,4,7,2024-09-28 06:16:10,2024-09-30 02:16:10,4410,Low,Planned
65,2,10,2024-10-22 21:13:43,2024-10-23 01:13:43,4751,Medium,Completed
66,3,8,2024-08-16 17:46:49,2024-08-17 06:46:49,60,High,Planned
67,5,4,2024-05-01 02:36:09,2024-05-01 16:36:09,4414,Low,Delayed
68,2,6,2024-05-15 14:35:57,2024-05-16 15:35:57,4744,High,Completed
69,3,11,2024-01-20 12:35:05,2024-01-21 16:35:05,409,Medium,In Progress
70,5,15,2024-01-07 17:17:16,2024-01-09 16:17:16,3297,Medium,In Progress
71,1,1,2024-07-15 23:48:58,2024-07-17 01:48:58,1951,Low,Planned
72,2,6,2024-02-08 04:12:05,2024-02-09 17:12:05,3425,High,Planned
73,2,9,2024-06-15 10:32:42,2024-06-17 00:32:42,3704,Medium,Planned
74,2,8,2024-03-09 22:02:53,2024-03-11 19:02:53,3601,Medium,Delayed
75,3,12,2024-11-24 09:32:31,2024-11-25 20:32:31,4922,Low,Delayed
76,3,8,2024-01-17 18:54:57,2024-01-18 22:54:57,3055,Low,Completed
77,2,6,2024-06-23 14:24:36,2024-06-25 09:24:36,151,Medium,Completed
78,5,14,2024-04-15 19:28:39,2024-04-16 17:28:39,865,Low,Completed
79,4,7,2024-05-15 13:37:46,2024-05-16 15:37:46,1614,High,Completed
80,4,6,2024-05-13 06:20:18,2024-05-15 05:20:18,2049,Medium,Delayed
81,4,3,2024-04-16 01:12:18,2024-04-16 13:12:18,1799,High,Completed
82,5,10,2024-12-16 14:13:27,2024-12-18 02:13:27,1718,Medium,Completed
83,1,6,2024-12-18 13:04:45,2024-12-19 08:04:45,2958,Medium,Planned
84,3,3,2024-01-28 07:27:34,2024-01-30 06:27:34,450,Medium,Completed
85,3,3,2024-01-20 01:41:12,2024-01-20 03:41:12,2448,High,Completed
86,5,6,2024-05-08 14:10:29,2024-05-09 04:10:29,942,Medium,In Progress
87,5,5,2024-11-20 00:59:48,2024-11-21 18:59:48,3021,High,Completed
88,3,12,2024-08-09 04:32:26,2024-08-10 12:32:26,2305,Low,Planned
89,1,11,2024-02-06 01:28:24,2024-02-07 00:28:24,4422,Low,In Progress
90,4,1,2024-12-18 01:24:43,2024-12-19 15:24:43,3042,High,Planned
91,5,10,2024-10-26 01:23:50,2024-10-27 05:23:50,151,Medium,Completed
92,3,11,2024-07-28 02:12:14,2024-07-29 06:12:14,4328,Medium,Completed
93,4,2,2024-12-03 08:22:12,2024-12-04 04:22:12,302,Medium,Completed
94,1,3,2024-06-12 19:56:54,2024-06-13 04:56:54,1386,Medium,Completed
95,1,10,2024-04-14 00:08:38,2024-04-15 16:08:38,1546,High,Completed
96,5,5,2024-04-14 10:51:01,2024-04-15 23:51:01,1407,Medium,Completed
97,2,7,2024-04-08 04:53:50,2024-04-09 09:53:50,4909,Low,Delayed
98,3,13,2024-07-13 04:26:18,2024-07-13 22:26:18,1303,Medium,Completed
99,3,3,2024-10-17 02:15:04,2024-10-17 08:15:04,539,Medium,Delayed
100,3,12,2024-10-15 07:13:15,2024-10-15 17:13:15,4792,Medium,Completed
101,2,7,2024-04-30 12:28:20,2024-04-30 18:28:20,4030,Medium,In Progress
102,5,7,2024-08-07 13:11:27,2024-08-08 08:11:27,3435,Low,Planned
103,1,4,2024-07-10 14:36:38,2024-07-10 20:36:38,2688,Medium,Completed
104,5,5,2024-11-16 04:49:41,2024-11-17 13:49:41,2545,Medium,Completed
105,4,8,2024-10-18 20:23:37,2024-10-19 22:23:37,4319,Low,Completed
106,3,12,2024-12-02 22:12:29,2024-12-04 10:12:29,2524,High,Planned
107,2,2,2024-10-14 03:38:50,2024-10-15 01:38:50,3317,High,Completed
108,3,9,2024-05-06 20:39:20,2024-05-08 14:39:20,4900,Low,Delayed
109,3,13,2024-07-20 17:03:49,2024-07-21 21:03:49,1078,Medium,Completed
110,4,4,2024-04-24 23:08:51,2024-04-26 13:08:51,2516,Low,Delayed
111,1,5,2024-02-19 06:11:28,2024-02-19 21:11:28,2627,Low,In Progress
112,2,6,2024-06-07 21:47:13,2024-06-09 06:47:13,3425,Medium,Completed
113,4,10,2024-10-20 17:44:00,2024-10-21 01:44:00,1489,High,Planned
114,2,8,2024-08-05 04:05:40,2024-08-06 21:05:40,3693,High,Delayed
115,1,1,2024-01-15 18:50:21,2024-01-16 16:50:21,197,High,Completed
116,1,15,2024-08-17 17:23:42,2024-08-19 04:23:42,1604,Medium,Delayed
117,3,13,2024-03-13 21:50:07,2024-03-14 19:50:07,2702,Medium,Planned
118,3,10,2024-06-13 12:50:04,2024-06-14 14:50:04,2424,Medium,Delayed
119,5,8,2024-02-22 04:43:55,2024-02-22 23:43:55,4134,Medium,Completed
120,2,10,2024-05-19 00:58:10,2024-05-19 08:58:10,3377,Medium,Completed
121,2,10,2024-06-20 16:18:30,2024-06-22 05:18:30,1433,Medium,Delayed
122,1,3,2024-12-08 06:44:26,2024-12-09 05:44:26,2545,Medium,Delayed
123,1,2,2024-05-13 13:17:31,2024-11-22 14:02:55,4120,Low,Completed
124,2,8,2024-06-03 05:31:19,2024-06-03 23:31:19,3305,Medium,Completed
125,5,13,2024-09-25 03:27:18,2024-09-25 23:27:18,153,Medium,Planned
126,3,7,2024-05-24 21:21:42,2024-05-26 19:21:42,4507,Medium,Completed
127,3,11,2024-03-16 03:08:08,2024-03-16 11:08:08,1109,Medium,Planned
128,2,7,2024-09-08 04:06:36,2024-09-09 00:06:36,4765,High,Planned
129,1,8,2024-03-26 07:46:15,2024-03-26 20:46:15,2534,Medium,Planned
130,4,7,2024-09-01 05:02:00,2024-09-01 21:02:00,2532,Medium,Completed
131,5,12,2024-12-13 18:53:04,2024-12-15 11:53:04,857,Medium,Delayed
132,4,11,2024-08-09 22:50:46,2024-08-11 02:50:46,3981,High,Planned
133,1,11,2024-11-27 13:12:36,2024-11-28 15:12:36,881,Medium,In Progress
134,3,1,2024-01-10 06:49:39,2024-01-11 03:49:39,473,Medium,In Progress
135,3,13,2024-08-29 15:21:38,2024-08-29 22:21:38,135,Medium,Completed
136,2,14,2024-08-05 00:48:43,2024-08-06 17:48:43,1965,Medium,Completed
137,4,12,2024-07-29 15:52:07,2024-07-30 04:52:07,1302,High,Planned
138,1,11,2024-11-21 08:32:11,2024-11-21 16:32:11,1886,Medium,Planned
139,5,8,2024-09-30 11:58:17,2024-10-02 02:58:17,704,High,Delayed
140,3,14,2024-12-18 22:32:38,2024-12-19 19:32:38,3633,Medium,Planned
141,5,15,2024-04-15 20:00:09,2024-04-17 05:00:09,550,Medium,Planned
142,4,12,2024-10-30 13:12:47,2024-10-30 22:12:47,95,Medium,Planned
143,4,10,2024-04-02 06:00:05,2024-04-03 22:00:05,1053,Low,Completed
144,3,8,2024-04-27 05:19:19,2024-04-28 09:19:19,3051,Low,Completed
145,2,10,2024-09-10 17:50:52,2024-09-11 18:50:52,465,Medium,Completed
146,4,9,2024-02-07 09:34:47,2024-02-09 08:34:47,2900,High,In Progress
147,5,7,2024-04-19 14:55:25,2024-04-20 08:55:25,4621,Medium,Planned
148,3,3,2024-07-23 23:57:39,2024-07-24 10:57:39,526,High,Planned
149,4,12,2024-07-11 02:27:27,2024-07-12 10:27:27,2545,Low,Planned
150,4,2,2024-05-08 23:11:35,2024-05-10 09:11:35,1816,Low,Delayed
151,3,10,2024-10-30 04:58:40,2024-10-30 11:58:40,2545,Medium,Completed
152,5,12,2024-02-17 10:29:51,2024-02-18 10:29:51,1408,Medium,Completed
153,5,4,2024-09-22 20:50:38,2024-09-24 16:50:38,1675,High,Completed
154,2,8,2024-06-03 16:06:55,2024-06-04 22:06:55,3586,Low,Planned
155,4,11,2024-03-31 18:22:56,2024-04-02 11:22:56,3108,Medium,Planned
156,2,6,2024-12-28 19:58:30,2024-12-30 07:58:30,2462,Medium,Planned
157,5,6,2024-07-01 15:47:15,2024-07-03 10:47:15,4513,Medium,Delayed
158,4,1,2024-09-28 07:55:11,2024-09-28 22:55:11,3160,Medium,Completed
159,1,8,2024-12-24 10:53:47,2024-12-25 01:53:47,804,Medium,Delayed
160,5,7,2024-08-04 10:55:59,2024-08-05 20:55:59,1857,Low,Completed
161,1,6,2024-11-06 13:12:46,2024-11-08 03:12:46,1738,Medium,In Progress
162,2,10,2024-03-16 13:33:19,2024-03-17 17:33:19,938,High,Planned
163,3,1,2024-08-28 20:24:14,2024-08-28 23:24:14,4526,High,Completed
164,3,11,2024-04-06 02:55:14,2024-04-06 06:55:14,2818,Medium,Completed
165,2,1,2024-06-09 14:06:50,2024-06-10 20:06:50,2062,Medium,Planned
166,1,14,2024-04-16 18:15:39,2024-04-17 18:15:39,2250,Medium,Planned
167,5,5,2024-09-01 21:52:56,2024-09-03 02:52:56,4027,Medium,Planned
168,3,8,2024-01-22 00:29:28,2024-01-22 10:29:28,1845,Low,Completed
169,1,12,2024-02-05 21:04:21,2024-02-06 08:04:21,4726,Low,Planned
170,3,7,2024-10-10 20:44:41,2024-10-12 17:44:41,4357,Medium,Delayed
171,5,12,2024-09-18 02:24:20,2024-09-18 18:24:20,3276,Medium,Planned
172,1,2,2024-06-26 12:23:09,2024-06-26 16:23:09,4197,High,Planned
173,2,3,2024-03-24 20:16:47,2024-03-26 18:16:47,4903,Medium,Completed
174,5,11,2024-01-28 23:43:52,2024-01-30 15:43:52,4133,Medium,Planned
175,1,11,2024-07-02 12:02:00,2024-07-03 21:02:00,1831,High,Planned
176,4,12,2024-10-30 06:13:54,2024-10-31 01:13:54,1463,High,In Progress
177,1,6,2024-08-20 20:06:55,2024-08-21 20:06:55,2590,Low,Planned
178,1,6,2024-04-27 19:19:39,2024-04-28 10:19:39,4912,High,Planned
179,5,7,2024-11-30 14:11:04,2024-12-02 06:11:04,4454,Medium,Planned
180,3,13,2024-07-17 08:16:56,2024-07-17 12:16:56,723,Medium,Completed
181,2,14,2024-02-02 21:02:37,2024-02-04 05:02:37,3544,Low,Completed
182,3,3,2024-04-16 10:18:11,2024-04-17 08:18:11,1067,Medium,In Progress
183,3,10,2024-01-03 12:09:03,2024-01-04 16:09:03,2944,High,Completed
184,5,7,2024-12-21 21:24:15,2024-12-22 22:24:15,4526,Medium,Planned
185,2,11,2024-06-28 16:00:14,2024-06-29 17:00:14,2392,Medium,Planned
186,4,11,2024-12-01 22:20:03,2024-12-02 14:20:03,967,High,Delayed
187,2,4,2024-10-21 04:03:21,2024-10-21 18:03:21,2322,Low,Planned
188,1,4,2024-09-18 17:34:50,2024-09-19 09:34:50,4809,High,Planned
189,2,10,2024-03-07 04:51:08,2024-03-08 23:51:08,2964,Low,In Progress
190,3,7,2024-11-22 14:02:55,2024-11-23 21:02:55,2272,Medium,Planned
191,3,12,2024-04-15 21:57:25,2024-04-17 18:57:25,830,Medium,Planned
192,5,1,2024-09-18 08:52:53,2024-09-18 17:52:53,1651,Low,Planned
193,1,14,2024-07-08 19:52:20,2024-07-10 10:52:20,2474,High,Completed
194,1,10,2024-01-10 17:34:01,2024-01-12 06:34:01,910,Medium,Completed
195,3,11,2024-12-23 23:11:57,2024-12-25 07:11:57,3411,Medium,Planned
196,2,4,2024-11-13 09:03:44,2024-11-14 18:03:44,1968,High,Planned
197,5,8,2024-10-02 18:20:38,2024-10-03 06:20:38,149,Medium,Completed
198,2,15,2024-02-27 23:49:56,2024-02-29 09:49:56,4210,Medium,Delayed
199,4,1,2024-10-02 21:54:28,2024-10-04 02:54:28,2177,Medium,Planned
200,3,1,2024-11-06 00:12:55,2024-11-07 01:12:55,3154,Medium,Planned
201,4,5,2024-03-14 08:27:51,2024-03-14 19:27:51,4489,High,Planned
202,1,5,2024-10-13 23:34:42,2024-10-15 10:34:42,2984,Low,Delayed
203,2,14,2024-06-03 11:54:17,2024-06-05 06:54:17,106,Low,Planned
204,1,7,2024-06-06 09:04:13,2024-06-07 18:04:13,3318,High,Completed
205,1,4,2024-10-08 18:20:22,2024-10-09 11:20:22,1754,Low,Planned
206,3,6,2024-02-19 19:33:51,2024-02-21 08:33:51,1448,Medium,Completed
207,2,4,2024-10-06 17:12:06,2024-10-06 19:12:06,4492,Medium,Completed
208,4,5,2024-09-03 07:44:51,2024-09-05 03:44:51,3418,High,Planned
209,4,12,2024-04-23 17:39:20,2024-04-25 08:39:20,3181,Low,Completed
210,5,4,2024-12-07 09:25:10,2024-12-08 07:25:10,2557,Low,Planned
211,5,4,2024-05-14 23:43:44,2024-05-16 09:43:44,3333,Medium,Planned
212,4,1,2024-10-31 14:31:02,2024-11-02 11:31:02,4476,Medium,Completed
213,5,11,2024-05-31 11:43:02,2024-05-31 23:43:02,303,Medium,Delayed
214,1,13,2024-05-30 23:12:22,2024-05-31 15:12:22,2856,Medium,Planned
215,2,2,2024-04-17 08:40:22,2024-04-17 11:40:22,1650,Medium,Planned
216,2,1,2024-02-23 16:01:17,2024-02-25 11:01:17,1253,Medium,Completed
217,2,6,2024-04-24 07:04:19,2024-04-25 16:04:19,4601,Low,Planned
218,4,7,2024-03-17 01:21:36,2024-03-18 11:21:36,1230,Medium,Completed
219,1,5,2024-03-28 13:29:36,2024-03-29 18:29:36,1919,Medium,Planned
220,3,8,2024-10-23 12:34:25,2024-10-23 20:34:25,2343,Medium,Completed
221,5,2,2024-02-20 22:41:41,2024-02-22 06:41:41,2093,Low,Completed
222,5,4,2024-02-29 07:22:01,2024-02-29 20:22:01,1648,Medium,In Progress
223,1,14,2024-01-29 18:59:09,2024-01-31 01:59:09,3566,High,Delayed
224,3,8,2024-08-27 22:16:43,2024-08-28 12:16:43,1768,Low,Completed
225,2,8,2024-07-06 11:02:39,2024-07-07 15:02:39,2671,Medium,Completed
226,4,2,2024-11-24 20:57:19,2024-11-25 23:57:19,1700,Medium,Planned
227,3,14,2024-04-01 14:46:50,2024-04-02 23:46:50,4167,High,Completed
228,2,6,2024-01-26 14:37:51,2024-01-28 00:37:51,4836,Medium,Delayed
229,2,14,2024-04-27 23:52:31,2024-04-29 21:52:31,1338,Medium,Completed
230,2,13,2024-10-09 20:13:33,2024-10-10 11:13:33,3144,Medium,Planned
231,3,12,2024-09-06 10:50:49,2024-09-07 03:50:49,4683,Low,Planned
232,5,4,2024-06-21 20:13:30,2024-06-22 16:13:30,4312,Medium,Completed
233,3,7,2024-01-13 22:08:09,2024-01-15 08:08:09,468,Medium,In Progress
234,2,3,2024-08-20 12:46:44,2024-08-20 19:46:44,137,Medium,Completed
235,1,4,2024-05-05 12:50:49,2024-05-07 04:50:49,2029,Medium,In Progress
236,2,7,2024-03-29 15:34:11,2024-03-29 20:34:11,301,High,Completed
237,3,10,2024-03-29 00:01:10,2024-03-30 17:01:10,4588,High,Planned
238,2,8,2024-05-30 10:06:55,2024-05-31 18:06:55,85,Medium,Delayed
239,5,14,2024-06-22 15:16:43,2024-06-23 21:16:43,1228,Medium,Planned
240,4,14,2024-12-28 08:30:49,2024-12-29 21:30:49,4320,Medium,Completed
241,2,15,2024-05-15 18:28:12,2024-12-22 02:25:52,1453,Low,Completed
242,2,2,2024-08-03 05:10:28,2024-08-05 04:10:28,2647,Medium,Completed
243,4,10,2024-05-15 14:02:38,2024-05-16 11:02:38,3028,High,Planned
244,5,6,2024-12-01 08:59:10,2024-12-02 21:59:10,1256,Medium,Planned
245,4,2,2024-03-26 19:40:43,2024-03-27 04:40:43,4914,Medium,Completed
246,3,7,2024-11-18 21:27:25,2024-11-18 23:27:25,4013,Low,Planned
247,3,13,2024-12-24 22:13:13,2024-12-26 08:13:13,4591,Medium,Completed
248,3,13,2024-10-20 18:22:27,2024-10-22 17:22:27,2930,Low,Planned
249,2,4,2024-09-18 05:55:40,2024-09-19 10:55:40,3985,Low,Delayed
250,5,14,2024-02-19 22:59:29,2024-02-20 06:59:29,1404,Low,Completed
251,5,11,2024-06-18 09:55:56,2024-06-19 22:55:56,1752,Low,Planned
252,4,10,2024-03-19 18:21:52,2024-03-21 10:21:52,4398,Medium,Planned
253,1,15,2024-05-07 19:53:27,2024-10-09 20:13:33,1344,High,Completed
254,1,4,2024-08-23 00:18:22,2024-08-23 23:18:22,4807,Medium,Completed
255,3,12,2024-06-21 02:41:56,2024-06-21 10:41:56,1815,Low,Completed
256,3,12,2024-10-20 20:41:05,2024-10-21 20:41:05,3651,Low,Planned
257,2,9,2024-08-06 06:57:43,2024-08-06 13:57:43,4566,Medium,Completed
258,4,3,2024-12-21 07:00:44,2024-12-21 18:00:44,4208,Low,Planned
259,4,6,2024-12-20 11:32:15,2024-12-22 03:32:15,3967,Low,In Progress
260,1,1,2024-10-06 12:38:06,2024-10-06 20:38:06,4100,High,Completed
261,2,3,2024-08-18 16:14:48,2024-08-20 08:14:48,3230,Medium,Planned
262,1,2,2024-09-18 08:15:22,2024-09-19 14:15:22,1157,High,Completed
263,5,15,2024-11-15 11:48:57,2024-11-15 13:48:57,4924,Medium,Delayed
264,2,4,2024-04-16 00:44:22,2024-04-16 21:44:22,2333,Medium,Planned
265,2,1,2024-01-06 06:55:54,2024-01-07 13:55:54,1842,Medium,Delayed
266,3,7,2024-03-23 15:17:28,2024-03-24 09:17:28,219,High,Completed
267,5,6,2024-05-25 19:13:28,2024-05-26 11:13:28,3158,High,Planned
268,4,11,2024-07-21 17:13:49,2024-07-22 13:13:49,1383,High,Delayed
269,3,6,2024-03-28 21:02:04,2024-03-30 08:02:04,3457,High,Completed
270,3,5,2024-09-06 08:12:58,2024-09-08 06:12:58,3617,Low,Planned
271,4,12,2024-03-30 02:59:22,2024-03-31 10:59:22,776,Low,Completed
272,5,9,2024-11-14 16:30:38,2024-11-15 03:30:38,2436,High,Completed
273,4,1,2024-10-21 18:13:32,2024-10-22 07:13:32,893,Medium,Completed
274,3,15,2024-02-25 14:02:47,2024-02-26 06:02:47,2126,High,Planned
275,3,8,2024-05-20 07:41:50,2024-05-21 06:41:50,2758,Medium,In Progress
276,2,1,2024-01-23 14:28:42,2024-01-24 09:28:42,4923,Medium,Completed
277,5,14,2024-12-11 07:51:15,2024-12-12 03:51:15,96,Low,In Progress
278,4,11,2024-08-01 10:52:11,2024-08-02 11:52:11,1546,Low,Delayed
279,2,10,2024-08-06 17:04:45,2024-08-07 01:04:45,2545,Medium,In Progress
280,5,1,2024-08-16 21:02:48,2024-08-18 12:02:48,3793,Medium,Planned
281,3,5,2024-01-29 10:02:52,2024-01-29 16:02:52,3227,Medium,Completed
282,2,8,2024-08-03 05:14:01,2024-08-04 22:14:01,3692,High,Completed
283,2,7,2024-12-03 18:52:41,2024-12-04 12:52:41,1783,Medium,Completed
284,4,12,2024-06-21 01:00:34,2024-06-22 02:00:34,1792,High,Completed
285,3,9,2024-12-27 07:25:32,2024-12-27 17:25:32,3314,Medium,Planned
286,1,12,2024-03-05 05:29:44,2024-03-06 07:29:44,4600,Medium,Completed
287,4,1,2024-03-28 12:24:40,2024-03-30 10:24:40,1909,Low,Completed
288,1,9,2024-08-10 15:46:33,2024-08-12 05:46:33,4735,High,Delayed
289,5,9,2024-11-25 20:41:42,2024-11-26 04:41:42,4812,Medium,Completed
290,3,4,2024-01-08 11:03:09,2024-01-08 16:03:09,4433,Medium,Planned
291,5,1,2024-05-12 23:08:59,2024-05-13 20:08:59,1509,Medium,Planned
292,2,12,2024-08-05 08:41:59,2024-08-06 18:41:59,3393,Medium,Completed
293,5,4,2024-07-19 02:26:16,2024-07-19 14:26:16,3341,High,In Progress
294,5,5,2024-09-06 11:15:31,2024-09-07 15:15:31,2574,High,Completed
295,3,15,2024-06-25 04:00:34,2024-06-26 00:00:34,3261,Low,In Progress
296,5,4,2024-06-12 23:14:52,2024-06-14 16:14:52,1040,Medium,Planned
297,1,8,2024-12-16 10:09:04,2024-12-16 18:09:04,2838,Low,Completed
298,4,11,2024-07-12 20:05:23,2024-07-14 19:05:23,784,High,Planned
299,4,7,2024-11-13 06:38:12,2024-11-14 04:38:12,530,Medium,Planned
300,2,15,2024-05-09 21:56:01,2024-05-10 11:56:01,2716,High,Completed
301,3,13,2024-11-25 14:45:48,2024-11-26 10:45:48,4843,Low,Completed
302,4,14,2024-11-12 23:20:09,2024-11-14 13:20:09,4949,Medium,Planned
303,3,11,2024-03-25 19:19:39,2024-03-26 05:19:39,3380,Low,In Progress
304,5,2,2024-03-09 03:44:27,2024-03-09 15:44:27,3101,Medium,Completed
305,5,9,2024-11-24 10:29:08,2024-11-26 09:29:08,4065,Medium,Completed
306,4,14,2024-04-05 04:56:23,2024-04-05 09:56:23,1982,Low,Completed
307,1,12,2024-05-30 23:43:03,2024-06-01 20:43:03,778,Medium,Completed
308,4,9,2024-10-20 22:03:29,2024-10-21 07:03:29,4420,High,Completed
309,1,10,2024-06-18 11:24:10,2024-06-19 08:24:10,4075,Low,Completed
310,1,7,2024-05-04 16:08:18,2024-05-05 14:08:18,2294,Medium,Delayed
311,1,2,2024-04-13 18:38:44,2024-04-15 09:38:44,294,Medium,In Progress
312,1,4,2024-01-28 04:01:54,2024-01-29 19:01:54,2485,Low,Planned
313,1,1,2024-08-31 00:07:30,2024-09-01 02:07:30,2458,Low,Planned
314,4,11,2024-04-04 18:08:57,2024-04-06 06:08:57,1311,Medium,Planned
315,3,3,2024-04-26 12:55:11,2024-04-26 20:55:11,919,Medium,Completed
316,3,10,2024-09-19 04:57:11,2024-09-21 02:57:11,4213,Low,Planned
317,5,5,2024-04-26 06:43:26,2024-04-26 21:43:26,1463,High,Completed
318,2,5,2024-04-07 11:20:19,2024-04-08 09:20:19,1385,High,In Progress
319,1,12,2024-06-29 10:15:27,2024-06-30 21:15:27,4387,Low,Planned
320,1,1,2024-04-22 04:44:52,2024-04-22 12:44:52,2532,Medium,Delayed
